variant,bytes,n,passes,rep,time_ns_per_pass
B,2048,256,16384,0,242.730
B,2048,256,16384,1,242.762
B,2048,256,16384,2,242.759
B,2048,256,16384,3,242.784
B,2048,256,16384,4,242.748
B,2048,256,16384,5,242.741
B,2048,256,16384,6,242.728
B,2048,256,16384,7,242.747
B,2048,256,16384,8,242.739
B,2048,256,16384,9,242.733
B,2048,256,16384,10,242.545
B,2048,256,16384,11,242.784
B,2048,256,16384,12,242.748
B,2048,256,16384,13,242.520
B,2048,256,16384,14,242.750
B,2048,256,16384,15,242.605
B,2048,256,16384,16,243.165
B,2048,256,16384,17,242.985
B,2048,256,16384,18,242.836
B,2048,256,16384,19,242.834
B,4096,512,4096,0,520.739
B,4096,512,4096,1,520.664
B,4096,512,4096,2,520.767
B,4096,512,4096,3,520.738
B,4096,512,4096,4,520.746
B,4096,512,4096,5,520.762
B,4096,512,4096,6,521.351
B,4096,512,4096,7,520.747
B,4096,512,4096,8,520.738
B,4096,512,4096,9,520.752
B,4096,512,4096,10,520.744
B,4096,512,4096,11,520.668
B,4096,512,4096,12,520.886
B,4096,512,4096,13,521.516
B,4096,512,4096,14,520.757
B,4096,512,4096,15,520.755
B,4096,512,4096,16,520.760
B,4096,512,4096,17,520.753
B,4096,512,4096,18,520.766
B,4096,512,4096,19,520.753
B,8192,1024,2048,0,1076.884
B,8192,1024,2048,1,1076.855
B,8192,1024,2048,2,1076.854
B,8192,1024,2048,3,1078.040
B,8192,1024,2048,4,1076.871
B,8192,1024,2048,5,1077.075
B,8192,1024,2048,6,1077.217
B,8192,1024,2048,7,1076.855
B,8192,1024,2048,8,1077.832
B,8192,1024,2048,9,1076.854
B,8192,1024,2048,10,1076.842
B,8192,1024,2048,11,1076.842
B,8192,1024,2048,12,1076.853
B,8192,1024,2048,13,1078.359
B,8192,1024,2048,14,1076.832
B,8192,1024,2048,15,1076.850
B,8192,1024,2048,16,1076.872
B,8192,1024,2048,17,1077.862
B,8192,1024,2048,18,1076.862
B,8192,1024,2048,19,1076.863
B,16384,2048,1024,0,2191.375
B,16384,2048,1024,1,2189.008
B,16384,2048,1024,2,2188.992
B,16384,2048,1024,3,2189.014
B,16384,2048,1024,4,2191.340
B,16384,2048,1024,5,2188.627
B,16384,2048,1024,6,2189.006
B,16384,2048,1024,7,2188.977
B,16384,2048,1024,8,2191.459
B,16384,2048,1024,9,2189.004
B,16384,2048,1024,10,2189.000
B,16384,2048,1024,11,2188.990
B,16384,2048,1024,12,2191.361
B,16384,2048,1024,13,2190.508
B,16384,2048,1024,14,2188.629
B,16384,2048,1024,15,2188.992
B,16384,2048,1024,16,2191.340
B,16384,2048,1024,17,2189.008
B,16384,2048,1024,18,2188.988
B,16384,2048,1024,19,2188.973
B,32768,4096,512,0,4416.859
B,32768,4096,512,1,4421.977
B,32768,4096,512,2,4429.664
B,32768,4096,512,3,4422.184
B,32768,4096,512,4,4416.707
B,32768,4096,512,5,4416.641
B,32768,4096,512,6,4423.773
