opt,type,n,rep,time_ns
O0, int, 1000000, 30, 2419402
O0, int, 1000000, 30, 2418080
O0, int, 1000000, 30, 2413058
O0, int, 1000000, 30, 2414650
O0, int, 1000000, 30, 2412488
O0, int, 1000000, 30, 2417716
O0, int, 1000000, 30, 2416704
O0, int, 1000000, 30, 2412908
O0, int, 1000000, 30, 2411880
O0, int, 1000000, 30, 2416910
O0, int, 1000000, 30, 2417064
O0, int, 1000000, 30, 2412596
O0, int, 1000000, 30, 2412732
O0, int, 1000000, 30, 2417140
O0, int, 1000000, 30, 2417714
O0, int, 1000000, 30, 2410786
O0, int, 1000000, 30, 2412258
O0, int, 1000000, 30, 2411232
O0, int, 1000000, 30, 2419136
O0, int, 1000000, 30, 2414476
O0, int, 1000000, 30, 2414390
O0, int, 1000000, 30, 2414544
O0, int, 1000000, 30, 2417078
O0, int, 1000000, 30, 2417498
O0, int, 1000000, 30, 2413924
O0, int, 1000000, 30, 2412622
O0, int, 1000000, 30, 2416988
O0, int, 1000000, 30, 2416918
O0, int, 1000000, 30, 2411868
O0, int, 1000000, 30, 2415582
O0, int, 10000000, 20, 24641964
O0, int, 10000000, 20, 24603948
O0, int, 10000000, 20, 24625652
O0, int, 10000000, 20, 24585820
O0, int, 10000000, 20, 24598978
O0, int, 10000000, 20, 24600624
O0, int, 10000000, 20, 24585382
O0, int, 10000000, 20, 24600750
O0, int, 10000000, 20, 24602332
O0, int, 10000000, 20, 24599704
O0, int, 10000000, 20, 24599348
O0, int, 10000000, 20, 24581374
O0, int, 10000000, 20, 24596584
O0, int, 10000000, 20, 24619562
O0, int, 10000000, 20, 24611628
O0, int, 10000000, 20, 24588280
O0, int, 10000000, 20, 24595648
O0, int, 10000000, 20, 24581848
O0, int, 10000000, 20, 24616284
O0, int, 10000000, 20, 24613370
O0, int, 100000000, 15, 246524572
O0, int, 100000000, 15, 246430284
O0, int, 100000000, 15, 246537816
O0, int, 100000000, 15, 246469164
O0, int, 100000000, 15, 246412908
O0, int, 100000000, 15, 246443018
O0, int, 100000000, 15, 246482538
O0, int, 100000000, 15, 246412650
O0, int, 100000000, 15, 246520342
O0, int, 100000000, 15, 246384602
O0, int, 100000000, 15, 246463366
O0, int, 100000000, 15, 246449256
O0, int, 100000000, 15, 246429788
O0, int, 100000000, 15, 246525232
O0, int, 100000000, 15, 246464744
O0, double, 1000000, 30, 2532008
O0, double, 1000000, 30, 2524630
O0, double, 1000000, 30, 2523842
O0, double, 1000000, 30, 2529454
