order,M,K,N,rep,time_ns
ijk,256,256,256,0,17158286
ijk,256,256,256,1,17154176
ijk,256,256,256,2,17152282
ijk,256,256,256,3,17148302
ijk,256,256,256,4,17145872
ijk,256,256,256,5,17144406
ijk,256,256,256,6,17144742
ijk,256,256,256,7,17146644
ijk,256,256,256,8,17149336
ijk,256,256,256,9,17156704
ijk,256,256,256,10,17142006
ijk,256,256,256,11,17144664
ijk,256,256,256,12,17247340
ijk,256,256,256,13,17141988
ijk,256,256,256,14,17144714
ijk,256,256,256,15,17147288
ijk,256,256,256,16,17148536
ijk,256,256,256,17,17143504
ijk,256,256,256,18,17143826
ijk,256,256,256,19,17158400
ijk,256,256,256,20,17152466
ijk,256,256,256,21,17144492
ijk,256,256,256,22,17144478
ijk,256,256,256,23,17140222
ijk,256,256,256,24,17145172
ijk,256,256,256,25,17146916
ijk,256,256,256,26,17156504
ijk,256,256,256,27,17153018
ijk,256,256,256,28,17157880
ijk,256,256,256,29,17142022
ikj,256,256,256,0,9574938
ikj,256,256,256,1,9566126
ikj,256,256,256,2,9511246
ikj,256,256,256,3,9442430
ikj,256,256,256,4,9445020
ikj,256,256,256,5,9441432
ikj,256,256,256,6,9445904
ikj,256,256,256,7,9441096
ikj,256,256,256,8,9444134
ikj,256,256,256,9,9443912
ikj,256,256,256,10,9567840
ikj,256,256,256,11,9568736
ikj,256,256,256,12,9564886
ikj,256,256,256,13,9568790
ikj,256,256,256,14,9565164
ikj,256,256,256,15,9565666
ikj,256,256,256,16,9570568
ikj,256,256,256,17,9489962
ikj,256,256,256,18,9444136
ikj,256,256,256,19,9442652
ikj,256,256,256,20,9445994
ikj,256,256,256,21,9440892
ikj,256,256,256,22,9509250
ikj,256,256,256,23,9442856
ikj,256,256,256,24,9443868
ikj,256,256,256,25,9440480
ikj,256,256,256,26,9444608
ikj,256,256,256,27,9443158
ikj,256,256,256,28,9443932
ikj,256,256,256,29,9440918
jik,256,256,256,0,18065390
jik,256,256,256,1,18064856
jik,256,256,256,2,18060100
jik,256,256,256,3,18065408
jik,256,256,256,4,18064454
jik,256,256,256,5,18069712
jik,256,256,256,6,18065214
jik,256,256,256,7,18067898
jik,256,256,256,8,18063172
jik,256,256,256,9,18068742
jik,256,256,256,10,18070664
jik,256,256,256,11,18067644
jik,256,256,256,12,18067840
jik,256,256,256,13,18070872
jik,256,256,256,14,18066374
jik,256,256,256,15,18076178
jik,256,256,256,16,18068224
jik,256,256,256,17,18071486
jik,256,256,256,18,18070062
jik,256,256,256,19,18064600
jik,256,256,256,20,18069216
jik,256,256,256,21,18068876
jik,256,256,256,22,18066268
jik,256,256,256,23,18080964
jik,256,256,256,24,18078578
jik,256,256,256,25,18071296
jik,256,256,256,26,18066618
jik,256,256,256,27,18066732
jik,256,256,256,28,18065784
jik,256,256,256,29,18069476
jki,256,256,256,0,55419848
jki,256,256,256,1,55451550
jki,256,256,256,2,55426110
jki,256,256,256,3,55426832
jki,256,256,256,4,55433728
jki,256,256,256,5,55417940
jki,256,256,256,6,55433320
jki,256,256,256,7,55433430
jki,256,256,256,8,55421642
jki,256,256,256,9,55451492
jki,256,256,256,10,55422212
jki,256,256,256,11,55437634
jki,256,256,256,12,55420442
jki,256,256,256,13,55417036
jki,256,256,256,14,55435464
jki,256,256,256,15,55453052
jki,256,256,256,16,55415436
jki,256,256,256,17,55420086
jki,256,256,256,18,55419814
jki,256,256,256,19,55452004
jki,256,256,256,20,55441018
jki,256,256,256,21,55408244
jki,256,256,256,22,55397648
jki,256,256,256,23,55395262
jki,256,256,256,24,55400694
jki,256,256,256,25,55397258
jki,256,256,256,26,55395452
jki,256,256,256,27,55391076
jki,256,256,256,28,55388268
jki,256,256,256,29,55404578
kij,256,256,256,0,9960264
kij,256,256,256,1,9972130
kij,256,256,256,2,9959094
kij,256,256,256,3,9961202
kij,256,256,256,4,9967716
kij,256,256,256,5,9973082
kij,256,256,256,6,9970284
kij,256,256,256,7,9973592
kij,256,256,256,8,9964978
kij,256,256,256,9,9965730
kij,256,256,256,10,9961620
kij,256,256,256,11,9962804
kij,256,256,256,12,9957972
kij,256,256,256,13,9956292
kij,256,256,256,14,9945140
kij,256,256,256,15,9954536
kij,256,256,256,16,9957772
kij,256,256,256,17,9961744
kij,256,256,256,18,9960546
kij,256,256,256,19,9957432
kij,256,256,256,20,9957136
kij,256,256,256,21,9960668
kij,256,256,256,22,9960642
kij,256,256,256,23,9957588
kij,256,256,256,24,9960904
kij,256,256,256,25,9968632
kij,256,256,256,26,9957940
kij,256,256,256,27,9962376
kij,256,256,256,28,9959452
kij,256,256,256,29,9956452
kji,256,256,256,0,54799208
kji,256,256,256,1,54784160
kji,256,256,256,2,54807426
kji,256,256,256,3,54805892
kji,256,256,256,4,54797600
kji,256,256,256,5,54788858
kji,256,256,256,6,54807716
kji,256,256,256,7,54803092
kji,256,256,256,8,54798130
kji,256,256,256,9,54799616
kji,256,256,256,10,54797846
kji,256,256,256,11,54798830
kji,256,256,256,12,54789276
kji,256,256,256,13,54801478
kji,256,256,256,14,54798244
kji,256,256,256,15,54825068
kji,256,256,256,16,54827936
kji,256,256,256,17,54812154
kji,256,256,256,18,54815340
kji,256,256,256,19,54812064
kji,256,256,256,20,54822600
kji,256,256,256,21,54792186
kji,256,256,256,22,54815006
kji,256,256,256,23,54804518
kji,256,256,256,24,54801208
kji,256,256,256,25,54797844
kji,256,256,256,26,54802956
kji,256,256,256,27,54801784
kji,256,256,256,28,54817086
kji,256,256,256,29,54824142
ijk,512,512,512,0,415804690
ijk,512,512,512,1,415822562
ijk,512,512,512,2,415835424
ijk,512,512,512,3,416007884
ijk,512,512,512,4,415806788
ijk,512,512,512,5,415796622
ijk,512,512,512,6,415806046
ijk,512,512,512,7,415875656
ijk,512,512,512,8,415797620
ijk,512,512,512,9,415814630
ijk,512,512,512,10,415823234
ijk,512,512,512,11,415806776
ijk,512,512,512,12,415864812
ijk,512,512,512,13,415823170
ijk,512,512,512,14,415796426
ikj,512,512,512,0,74618006
ikj,512,512,512,1,75023226
ikj,512,512,512,2,75093374
ikj,512,512,512,3,75099628
ikj,512,512,512,4,74810622
ikj,512,512,512,5,74499868
ikj,512,512,512,6,74490496
ikj,512,512,512,7,75001476
ikj,512,512,512,8,74723790
ikj,512,512,512,9,74666416
ikj,512,512,512,10,74648722
ikj,512,512,512,11,74590410
ikj,512,512,512,12,74999540
ikj,512,512,512,13,74889588
ikj,512,512,512,14,74786540
jik,512,512,512,0,446346040
jik,512,512,512,1,446391300
jik,512,512,512,2,446316910
jik,512,512,512,3,446365424
jik,512,512,512,4,446333974
jik,512,512,512,5,446361546
jik,512,512,512,6,446358884
jik,512,512,512,7,446345702
jik,512,512,512,8,446338156
jik,512,512,512,9,446339750
jik,512,512,512,10,446351572
jik,512,512,512,11,446373032
jik,512,512,512,12,446359232
jik,512,512,512,13,446349976
jik,512,512,512,14,446394738
