variant,input,n,rep,time_ns
alloc,R,1000000,0,108473856
alloc,R,1000000,1,107479000
alloc,R,1000000,2,107189198
alloc,R,1000000,3,107361148
alloc,R,1000000,4,107294762
alloc,R,1000000,5,107354614
alloc,R,1000000,6,107129016
alloc,R,1000000,7,107127424
alloc,R,1000000,8,107248984
alloc,R,1000000,9,106991728
alloc,R,1000000,10,107116768
alloc,R,1000000,11,107031598
alloc,R,1000000,12,107156266
alloc,R,1000000,13,107217938
alloc,R,1000000,14,107491444
alloc,R,1000000,15,107390268
alloc,R,1000000,16,107915188
alloc,R,1000000,17,107362654
alloc,R,1000000,18,107323184
alloc,R,1000000,19,107411070
alloc,R,1000000,20,107293810
alloc,R,1000000,21,107429906
alloc,R,1000000,22,107051448
alloc,R,1000000,23,107236474
alloc,R,1000000,24,107224568
alloc,R,1000000,25,107096570
alloc,R,1000000,26,107078636
alloc,R,1000000,27,107101924
alloc,R,1000000,28,107134204
alloc,R,1000000,29,107024416
shared,R,1000000,0,97027364
shared,R,1000000,1,96982668
shared,R,1000000,2,96907880
shared,R,1000000,3,96908312
shared,R,1000000,4,96948084
shared,R,1000000,5,96970276
shared,R,1000000,6,96911510
shared,R,1000000,7,96841768
shared,R,1000000,8,97009800
shared,R,1000000,9,96972542
shared,R,1000000,10,96973268
shared,R,1000000,11,96982510
shared,R,1000000,12,97025770
shared,R,1000000,13,96931328
shared,R,1000000,14,96939196
shared,R,1000000,15,97027390
shared,R,1000000,16,97061418
shared,R,1000000,17,96891560
shared,R,1000000,18,97039420
shared,R,1000000,19,96931636
shared,R,1000000,20,97085684
shared,R,1000000,21,97166740
shared,R,1000000,22,96828840
shared,R,1000000,23,96957316
shared,R,1000000,24,97002776
shared,R,1000000,25,97030896
shared,R,1000000,26,97072136
shared,R,1000000,27,96839018
shared,R,1000000,28,97120896
shared,R,1000000,29,97122260
stdsort,R,1000000,0,60313142
stdsort,R,1000000,1,60299460
stdsort,R,1000000,2,60311312
stdsort,R,1000000,3,60280494
stdsort,R,1000000,4,60457388
stdsort,R,1000000,5,60393172
stdsort,R,1000000,6,60431802
stdsort,R,1000000,7,60298424
stdsort,R,1000000,8,60292584
stdsort,R,1000000,9,60890540
stdsort,R,1000000,10,60358334
stdsort,R,1000000,11,60317106
stdsort,R,1000000,12,60271174
stdsort,R,1000000,13,60340204
stdsort,R,1000000,14,60474196
stdsort,R,1000000,15,60300040
stdsort,R,1000000,16,60393848
stdsort,R,1000000,17,60393172
stdsort,R,1000000,18,60275444
stdsort,R,1000000,19,60341014
stdsort,R,1000000,20,60287404
stdsort,R,1000000,21,60264280
stdsort,R,1000000,22,60316568
stdsort,R,1000000,23,60257556
stdsort,R,1000000,24,60340980
stdsort,R,1000000,25,60997602
stdsort,R,1000000,26,60421890
stdsort,R,1000000,27,60352604
stdsort,R,1000000,28,60988922
stdsort,R,1000000,29,60283804
qsort,R,1000000,0,139544180
qsort,R,1000000,1,138878728
qsort,R,1000000,2,138984152
qsort,R,1000000,3,138986830
qsort,R,1000000,4,139009030
qsort,R,1000000,5,138920366
qsort,R,1000000,6,138647288
qsort,R,1000000,7,138825560
qsort,R,1000000,8,138823196
qsort,R,1000000,9,138641888
qsort,R,1000000,10,138877874
qsort,R,1000000,11,138671836
qsort,R,1000000,12,138920288
qsort,R,1000000,13,138580684
qsort,R,1000000,14,138530606
qsort,R,1000000,15,138660748
qsort,R,1000000,16,138770968
qsort,R,1000000,17,138939396
qsort,R,1000000,18,138621518
qsort,R,1000000,19,138876542
qsort,R,1000000,20,138965196
qsort,R,1000000,21,138877724
qsort,R,1000000,22,138913224
qsort,R,1000000,23,139167956
qsort,R,1000000,24,138791856
qsort,R,1000000,25,138659322
qsort,R,1000000,26,138911788
qsort,R,1000000,27,138780326
qsort,R,1000000,28,138872456
qsort,R,1000000,29,138931460
alloc,A,1000000,0,32682140
alloc,A,1000000,1,31883348
alloc,A,1000000,2,31883684
alloc,A,1000000,3,31833420
alloc,A,1000000,4,31842258
alloc,A,1000000,5,31925428
alloc,A,1000000,6,31882916
alloc,A,1000000,7,31933320
alloc,A,1000000,8,31833286
alloc,A,1000000,9,31852666
alloc,A,1000000,10,31869824
alloc,A,1000000,11,31895784
alloc,A,1000000,12,31883020
alloc,A,1000000,13,31898000
alloc,A,1000000,14,31864052
alloc,A,1000000,15,31813456
alloc,A,1000000,16,31885310
alloc,A,1000000,17,31876444
alloc,A,1000000,18,31898708
alloc,A,1000000,19,31876640
alloc,A,1000000,20,31959548
alloc,A,1000000,21,31864246
alloc,A,1000000,22,31844478
alloc,A,1000000,23,31881408
alloc,A,1000000,24,31848604
alloc,A,1000000,25,31878808
alloc,A,1000000,26,31877396
alloc,A,1000000,27,31887700
alloc,A,1000000,28,31840668
alloc,A,1000000,29,31914628
shared,A,1000000,0,19226180
shared,A,1000000,1,19249024
shared,A,1000000,2,19245100
shared,A,1000000,3,19251496
shared,A,1000000,4,19242268
shared,A,1000000,5,19250604
shared,A,1000000,6,19255058
shared,A,1000000,7,19246898
shared,A,1000000,8,19243328
shared,A,1000000,9,19250418
shared,A,1000000,10,19255028
shared,A,1000000,11,19237378
shared,A,1000000,12,19240572
shared,A,1000000,13,19234692
shared,A,1000000,14,19246072
shared,A,1000000,15,19241858
shared,A,1000000,16,19247984
shared,A,1000000,17,19241252
shared,A,1000000,18,19236472
shared,A,1000000,19,19239728
shared,A,1000000,20,19234516
shared,A,1000000,21,19243876
shared,A,1000000,22,19244252
shared,A,1000000,23,19253868
shared,A,1000000,24,19242072
shared,A,1000000,25,19234008
shared,A,1000000,26,19238376
shared,A,1000000,27,19242538
shared,A,1000000,28,19245542
shared,A,1000000,29,19246358
stdsort,A,1000000,0,8656152
stdsort,A,1000000,1,8667150
stdsort,A,1000000,2,8658428
stdsort,A,1000000,3,8660338
stdsort,A,1000000,4,8656756
stdsort,A,1000000,5,8655206
stdsort,A,1000000,6,8648550
stdsort,A,1000000,7,8688744
stdsort,A,1000000,8,8722568
stdsort,A,1000000,9,8703292
stdsort,A,1000000,10,8711982
stdsort,A,1000000,11,8724332
stdsort,A,1000000,12,8692298
stdsort,A,1000000,13,8678976
stdsort,A,1000000,14,8705322
stdsort,A,1000000,15,8704102
stdsort,A,1000000,16,8692720
stdsort,A,1000000,17,8712472
stdsort,A,1000000,18,8711854
stdsort,A,1000000,19,8728832
stdsort,A,1000000,20,8718028
stdsort,A,1000000,21,8714180
stdsort,A,1000000,22,8679038
stdsort,A,1000000,23,8636006
stdsort,A,1000000,24,8647732
stdsort,A,1000000,25,8676830
stdsort,A,1000000,26,8690210
stdsort,A,1000000,27,8705914
stdsort,A,1000000,28,8713988
stdsort,A,1000000,29,8701580
qsort,A,1000000,0,30471390
qsort,A,1000000,1,30302004
qsort,A,1000000,2,30289334
qsort,A,1000000,3,30285252
qsort,A,1000000,4,30291466
qsort,A,1000000,5,30297938
qsort,A,1000000,6,30300822
qsort,A,1000000,7,30287904
qsort,A,1000000,8,30287252
qsort,A,1000000,9,30292004
qsort,A,1000000,10,30286276
qsort,A,1000000,11,30293252
qsort,A,1000000,12,30286512
qsort,A,1000000,13,30289532
qsort,A,1000000,14,30290296
qsort,A,1000000,15,30292232
qsort,A,1000000,16,30286002
qsort,A,1000000,17,30285170
qsort,A,1000000,18,30279152
qsort,A,1000000,19,30279162
qsort,A,1000000,20,30293256
qsort,A,1000000,21,30277546
qsort,A,1000000,22,30291146
qsort,A,1000000,23,30286080
qsort,A,1000000,24,30283328
qsort,A,1000000,25,30293108
qsort,A,1000000,26,30284392
qsort,A,1000000,27,30284716
qsort,A,1000000,28,30289230
qsort,A,1000000,29,30285570
alloc,D,1000000,0,32630140
alloc,D,1000000,1,31908008
alloc,D,1000000,2,31894768
alloc,D,1000000,3,31908712
alloc,D,1000000,4,31886752
alloc,D,1000000,5,31908782
alloc,D,1000000,6,31899422
alloc,D,1000000,7,31921384
alloc,D,1000000,8,31919844
alloc,D,1000000,9,31914952
alloc,D,1000000,10,31906340
alloc,D,1000000,11,31890700
alloc,D,1000000,12,31825068
alloc,D,1000000,13,31882430
alloc,D,1000000,14,31868772
alloc,D,1000000,15,31901996
alloc,D,1000000,16,31901880
alloc,D,1000000,17,31910612
alloc,D,1000000,18,31904644
alloc,D,1000000,19,31900022
alloc,D,1000000,20,31902720
alloc,D,1000000,21,31893420
alloc,D,1000000,22,31892544
alloc,D,1000000,23,31872012
alloc,D,1000000,24,31832496
alloc,D,1000000,25,31865880
alloc,D,1000000,26,31830102
alloc,D,1000000,27,31844976
alloc,D,1000000,28,31833806
