graph,src,rep,time_ns,edges,levels,reached
er,320873,0,131158898,16777216,8,1048575
er,320873,1,130545148,16777216,8,1048575
er,320873,2,130446568,16777216,8,1048575
er,320873,3,130441106,16777216,8,1048575
er,320873,4,130392048,16777216,8,1048575
er,320873,5,130463124,16777216,8,1048575
er,320873,6,130427280,16777216,8,1048575
er,320873,7,130870768,16777216,8,1048575
er,320873,8,130716058,16777216,8,1048575
er,320873,9,130414520,16777216,8,1048575
er,1006856,0,131097960,16777216,8,1048575
er,1006856,1,130573480,16777216,8,1048575
er,1006856,2,130559900,16777216,8,1048575
er,1006856,3,130758416,16777216,8,1048575
er,1006856,4,130537758,16777216,8,1048575
er,1006856,5,130519544,16777216,8,1048575
er,1006856,6,130488474,16777216,8,1048575
er,1006856,7,130423536,16777216,8,1048575
er,1006856,8,130419930,16777216,8,1048575
er,1006856,9,130425904,16777216,8,1048575
er,925147,0,131262980,16777216,8,1048575
er,925147,1,130577302,16777216,8,1048575
er,925147,2,130632534,16777216,8,1048575
er,925147,3,130323372,16777216,8,1048575
er,925147,4,130434608,16777216,8,1048575
er,925147,5,130445608,16777216,8,1048575
er,925147,6,130468536,16777216,8,1048575
er,925147,7,130450740,16777216,8,1048575
er,925147,8,130330638,16777216,8,1048575
er,925147,9,130474868,16777216,8,1048575
er,323096,0,131358620,16777216,8,1048575
er,323096,1,130577358,16777216,8,1048575
er,323096,2,130524252,16777216,8,1048575
er,323096,3,130582474,16777216,8,1048575
er,323096,4,130478886,16777216,8,1048575
er,323096,5,130416770,16777216,8,1048575
er,323096,6,130524588,16777216,8,1048575
er,323096,7,130411454,16777216,8,1048575
er,323096,8,130442020,16777216,8,1048575
er,323096,9,130463422,16777216,8,1048575
er,185022,0,131172106,16777216,8,1048575
er,185022,1,130565970,16777216,8,1048575
er,185022,2,130648750,16777216,8,1048575
er,185022,3,130577808,16777216,8,1048575
er,185022,4,130431996,16777216,8,1048575
er,185022,5,130498530,16777216,8,1048575
er,185022,6,130555420,16777216,8,1048575
er,185022,7,130505134,16777216,8,1048575
er,185022,8,130490920,16777216,8,1048575
er,185022,9,130485864,16777216,8,1048575
er,712105,0,131247230,16777216,8,1048575
er,712105,1,130575672,16777216,8,1048575
er,712105,2,130427534,16777216,8,1048575
er,712105,3,130501792,16777216,8,1048575
er,712105,4,130437458,16777216,8,1048575
er,712105,5,130509098,16777216,8,1048575
er,712105,6,130493056,16777216,8,1048575
er,712105,7,130572936,16777216,8,1048575
er,712105,8,130548244,16777216,8,1048575
er,712105,9,130529834,16777216,8,1048575
er,415970,0,131192278,16777216,8,1048575
er,415970,1,130501618,16777216,8,1048575
er,415970,2,130576464,16777216,8,1048575
