graph,src,level,size
er,320873,0,1
er,320873,1,17
er,320873,2,276
er,320873,3,4368
er,320873,4,67409
er,320873,5,627505
er,320873,6,348964
er,320873,7,35
er,1006856,0,1
er,1006856,1,19
er,1006856,2,312
er,1006856,3,5005
er,1006856,4,76462
er,1006856,5,666733
er,1006856,6,300038
er,1006856,7,5
er,925147,0,1
er,925147,1,15
er,925147,2,250
er,925147,3,4020
er,925147,4,62116
er,925147,5,601451
er,925147,6,380691
er,925147,7,31
er,323096,0,1
er,323096,1,15
er,323096,2,236
er,323096,3,3895
er,323096,4,60635
er,323096,5,594081
er,323096,6,389682
er,323096,7,30
er,185022,0,1
er,185022,1,20
er,185022,2,309
er,185022,3,4916
er,185022,4,75090
er,185022,5,660223
er,185022,6,308007
er,185022,7,9
er,712105,0,1
er,712105,1,10
er,712105,2,153
er,712105,3,2430
er,712105,4,37741
er,712105,5,441122
er,712105,6,566456
er,712105,7,662
er,415970,0,1
er,415970,1,7
er,415970,2,123
er,415970,3,1993
er,415970,4,31356
er,415970,5,385311
er,415970,6,627939
er,415970,7,1845
er,167016,0,1
er,167016,1,12
er,167016,2,202
er,167016,3,3243
er,167016,4,50638
er,167016,5,535316
er,167016,6,459031
er,167016,7,132
er,962101,0,1
er,962101,1,16
er,962101,2,259
er,962101,3,4082
er,962101,4,62858
er,962101,5,605407
er,962101,6,375925
er,962101,7,27
er,62293,0,1
er,62293,1,19
er,62293,2,301
er,62293,3,4908
er,62293,4,75141
er,62293,5,661039
er,62293,6,307158
er,62293,7,8
er,297738,0,1
er,297738,1,17
er,297738,2,274
er,297738,3,4416
er,297738,4,67899
er,297738,5,629825
er,297738,6,346123
er,297738,7,20
er,866036,0,1
er,866036,1,20
er,866036,2,343
er,866036,3,5493
er,866036,4,83714
er,866036,5,691069
er,866036,6,267928
er,866036,7,7
er,458625,0,1
er,458625,1,14
er,458625,2,230
er,458625,3,3566
er,458625,4,55342
er,458625,5,564495
er,458625,6,424850
er,458625,7,77
er,718731,0,1
er,718731,1,19
er,718731,2,319
er,718731,3,4952
er,718731,4,76250
er,718731,5,665316
er,718731,6,301711
er,718731,7,7
er,845783,0,1
er,845783,1,14
er,845783,2,229
er,845783,3,3723
er,845783,4,57966
er,845783,5,579671
er,845783,6,406899
er,845783,7,72
er,820151,0,1
er,820151,1,14
er,820151,2,239
er,820151,3,3747
er,820151,4,58125
er,820151,5,579974
er,820151,6,406420
er,820151,7,55
rmat,469821,0,1
rmat,469821,1,4
rmat,469821,2,3321
rmat,469821,3,327317
rmat,469821,4,219088
rmat,469821,5,3266
rmat,469821,6,27
rmat,123751,0,1
rmat,123751,1,1
rmat,123751,2,2036
rmat,123751,3,280143
rmat,123751,4,265930
rmat,123751,5,4879
rmat,123751,6,34
rmat,886323,0,1
rmat,886323,1,1
rmat,886323,2,2125
rmat,886323,3,290815
rmat,886323,4,255595
rmat,886323,5,4455
rmat,886323,6,32
rmat,611713,0,1
rmat,611713,1,4
rmat,611713,2,8260
rmat,611713,3,388965
rmat,611713,4,154071
rmat,611713,5,1712
rmat,611713,6,11
rmat,350429,0,1
rmat,350429,1,1
rmat,350429,2,229
rmat,350429,3,116726
rmat,350429,4,414595
rmat,350429,5,21323
rmat,350429,6,149
rmat,664066,0,1
rmat,664066,1,16
rmat,664066,2,10716
rmat,664066,3,409957
rmat,664066,4,130967
rmat,664066,5,1358
rmat,664066,6,9
rmat,787258,0,1
rmat,787258,1,4
rmat,787258,2,941
rmat,787258,3,233103
rmat,787258,4,311540
rmat,787258,5,7388
rmat,787258,6,47
rmat,316206,0,1
rmat,316206,1,2
rmat,316206,2,2147
rmat,316206,3,289469
rmat,316206,4,256813
rmat,316206,5,4565
rmat,316206,6,27
rmat,488273,0,1
rmat,488273,1,1
rmat,488273,2,697
rmat,488273,3,200275
rmat,488273,4,342399
rmat,488273,5,9582
rmat,488273,6,69
rmat,950178,0,1
rmat,950178,1,8
rmat,950178,2,8959
rmat,950178,3,394457
rmat,950178,4,147938
rmat,950178,5,1647
rmat,950178,6,14
rmat,563509,0,1
rmat,563509,1,1
rmat,563509,2,2133
rmat,563509,3,281845
rmat,563509,4,264262
rmat,563509,5,4747
rmat,563509,6,35
rmat,402394,0,1
rmat,402394,1,688
rmat,402394,2,191179
rmat,402394,3,350699
rmat,402394,4,10383
rmat,402394,5,74
rmat,759250,0,1
rmat,759250,1,9
rmat,759250,2,32551
rmat,759250,3,448737
rmat,759250,4,71139
rmat,759250,5,585
rmat,759250,6,2
rmat,919191,0,1
rmat,919191,1,3
rmat,919191,2,2548
rmat,919191,3,303367
rmat,919191,4,243017
rmat,919191,5,4060
rmat,919191,6,28
rmat,367578,0,1
rmat,367578,1,2
rmat,367578,2,24
rmat,367578,3,33177
rmat,367578,4,450300
rmat,367578,5,68943
rmat,367578,6,572
rmat,367578,7,5
rmat,809300,0,1
rmat,809300,1,1
rmat,809300,2,6118
rmat,809300,3,360498
rmat,809300,4,184096
rmat,809300,5,2292
rmat,809300,6,18
